cod_i;cod_m;muni;esta;ano_;prest;servç;natur;G06A _ População urbana residente do(s) município(s) com abastecimento de água;G06B _ População urbana residente do(s) município(s) com esgotamento sanitário;G12A _ População total residente do(s) município(s) com abastecimento de água, segundo o IBGE;G12B _ População total residente do(s) município(s) com esgotamento sanitário, segundo o IBGE;POP_TOT _ População total do município (Fonte: IBGE):;POP_URB _ População urbana do município (Fonte: IBGE);AG001 _ População total atendida com abastecimento de água;AG026 _ População urbana atendida com abastecimento de água;ES001 _ População total atendida com esgotamento sanitário;ES026 _ População urbana atendida com esgotamento sanitário;IN015_AE _ Índice de coleta de esgoto;IN016_AE _ Índice de tratamento de esgoto;IN023_AE _ Índice de atendimento urbano de água;IN024_AE _ Índice de atendimento urbano de esgoto referido aos municípios atendidos com água;IN046_AE _ Índice de esgoto tratado referido à água consumida;IN047_AE _ Índice de atendimento urbano de esgoto referido aos municípios atendidos com esgoto;IN055_AE _ Índice de atendimento total de água;IN056_AE _ Índice de atendimento total de esgoto referido aos municípios atendidos com água
3557204;355720;Chavantes;SP;2019;[35572011] Superintendência de Água e Esgoto Chavantes - SAEC | [35572040] Prefeitura Municipal de Chavantes - PMC;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;11.42;11.42;12.42;12.42;12.42;11.42;11.44;11.42;11.00;11.00;92,49;100,00;100,00;96,35;92,49;96,35;92,15;88,60
3511904;351190;Clementina;SP;2019;[35119011] Prefeitura Municipal de Clementina - PMC | [35119040] PREFEITURA MUNICIPAL DE CLEMENTINA - PMC;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;8.21;8.21;8.62;8.62;8.62;8.21;8.21;8.21;8.21;8.21;99,04;100,00;100,00;100,00;99,04;100,00;95,31;95,31
3512001;351200;Colina;SP;2019;[35120011] Serviço Autônomo de Água e Esgoto de Colina - SAEC | [35120040] PREFEITURA MUNICIPAL DE COLINA - PMC;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;17.25;17.25;18.47;18.47;18.47;17.25;16.22;16.22;16.22;16.22;100,00;100,00;94,10;94,06;100,00;94,06;87,84;87,84
3512100;351210;Colômbia;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP;Água e Esgoto;Sociedade de economia mista com administração pública;4.49;4.49;6.21;6.21;6.21;4.49;5.96;4.49;5.80;4.49;96,80;100,00;100,00;100,00;96,80;100,00;95,96;93,38
3512209;351220;Conchal;SP;2019;[35122011] Prefeitura Municipal de Conchal - PMC | [35122040] PREFEITURA MUNICIPAL DE CONCHAL - PMC;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;26.51;26.51;28.05;28.05;28.05;26.51;27.67;26.50;27.35;26.36;89,22;91,82;100,00;99,45;81,92;99,45;98,65;97,50
3512308;351230;Conchas;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35123040] Prefeitura Municipal de Conchas - PMC;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;14.50;14.50;17.90;17.90;17.90;14.50;12.90;12.90;12.23;12.23;89,51;100,00;89,00;84,37;89,51;84,37;72,11;68,36
3512407;351240;Cordeirópolis;SP;2019;[35124011] Serviço Autônomo de Água e Esgoto de Cordeirópolis - SAAE | [35124040] Secretaria Municipal de Serviços Públicos - SMSP;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;22.03;22.03;24.53;24.53;24.53;22.03;24.53;22.03;24.53;22.03;95,48;0,00;100,00;100,00;0,00;100,00;100,00;100,00
3512506;351250;Coroados;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35125040] PREFEITURA MUNICIPAL DE COROADOS - PMC;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;4.91;4.91;6.06;6.06;6.06;4.91;5.19;4.91;5.09;4.91;95,21;100,00;100,00;100,00;95,21;100,00;85,74;84,04
3512605;351260;Coronel Macedo;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35126040] SECRETARIA DO MEIO AMBIENTE - SMA;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;3.62;3.62;4.68;4.68;4.68;3.62;3.91;3.62;3.62;3.62;100,00;100,00;100,00;100,00;100,00;100,00;83,47;77,29
3512704;351270;Corumbataí;SP;2019;[35127011] Prefeitura Municipal de Corumbataí - PMC | [35127040] Prefeitura Municipal - PM;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;2.19;2.19;4.06;4.06;4.06;2.19;4.02;2.17;4.02;2.17;88,46;100,00;99,10;99,09;88,46;99,09;99,09;99,09
3512803;351280;Cosmópolis;SP;2019;[35128011] Prefeitura Municipal de Cosmópolis - DAE | [35128040] Prefeitura Municipal de Cosmópolis - PMC;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;67.10;67.10;72.25;72.25;72.25;67.10;70.00;65.00;67.00;65.00;77,33;0,00;96,90;96,87;0,00;96,87;96,88;92,73
3512902;351290;Cosmorama;SP;2019;[35129011] Prefeitura Municipal de Cosmorama - PMC;Água e Esgoto;Administração pública direta;5.01;5.01;7.31;7.31;7.31;5.01;5.01;5.01;5.01;5.01;50,00;100,00;100,00;100,00;50,00;100,00;68,55;68,55
3513009;351300;Cotia;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35130040] PREFEITURA MUNICIPAL DE COTIA - PMC;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;249.21;249.21;249.21;249.21;249.21;249.21;249.21;249.21;132.16;132.16;37,69;44,99;100,00;53,03;16,96;53,03;100,00;53,03
3513108;351310;Cravinhos;SP;2019;[35131011] Serviço Autônomo de Água e Esgoto - SAAE;Água e Esgoto;Autarquia;34.41;34.41;35.29;35.29;35.29;34.41;34.41;34.41;34.41;34.41;84,99;100,00;100,00;100,00;84,99;100,00;97,51;97,51
3513207;351320;Cristais Paulista;SP;2019;[35132011] Prefeitura Municipal de Cristais Paulista - PMCP | [35132040] PREFEITURA MUNICIPAL DE CRISTAIS PAULISTA - PMCP;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;6.29;6.29;8.63;8.63;8.63;6.29;6.21;6.21;6.21;6.21;87,63;100,00;98,70;98,73;87,63;98,73;71,93;71,93
3513306;351330;Cruzália;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35133040] DEPARTAMENTO DE AGRICULTURA ABASTECIMENTO E MEIO AMBIENTE - DAMA;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;1.38;1.38;2.07;2.07;2.07;1.38;1.88;1.38;1.84;1.38;100,00;100,00;100,00;100,00;100,00;100,00;90,50;88,71
3513405;351340;Cruzeiro;SP;2019;[35134011] Serviço Autônomo de Água e Esgoto - SAAE | [35134040] Secretaria Municipal de Meio Ambiente - SEMA;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;80.14;80.14;82.24;82.24;82.24;80.14;82.24;80.14;80.14;80.14;99,92;0,07;100,00;100,00;0,07;100,00;100,00;97,45
3513504;351350;Cubatão;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35135040] SECRETARIA DE MANUTENÇÃO URBANA E SERVIÇOS PÚBLICOS - SESEP;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;130.71;130.71;130.71;130.71;130.71;130.71;111.32;111.32;71.16;71.16;50,89;100,00;85,20;54,44;50,89;54,44;85,17;54,44
3513603;351360;Cunha;SP;2019;[35136011] Prefeitura Municipal de Cunha - PMC;Água e Esgoto;Administração pública direta;11.99;11.99;21.55;21.55;21.55;11.99;11.99;11.99;6.28;6.28;44,99;47,87;100,00;52,40;21,54;52,40;55,64;29,15
3513702;351370;Descalvado;SP;2019;[35137011] Prefeitura Municipal de Descalvado - SEMARH | [35137040] Prefeitura Municipal de Descalvado - PMD;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;30.09;30.09;33.72;33.72;33.72;30.09;30.43;30.01;30.05;29.82;79,98;0,00;99,70;99,11;0,00;99,11;90,25;89,12
3513801;351380;Diadema;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35138040] PREFEITURA DO MUNICÍPIO DE DIADEMA - PMD;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;423.88;423.88;423.88;423.88;423.88;423.88;423.88;423.88;399.44;399.44;75,75;52,69;100,00;94,23;39,91;94,23;100,00;94,23
3513850;351385;Dirce Reis;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35138540] Prefeitura Municipal de Dirce Reis - PM Dirce Reis;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;1.36;1.36;1.79;1.79;1.79;1.36;1.49;1.36;1.44;1.36;100,00;100,00;100,00;100,00;100,00;100,00;82,93;80,48
3513900;351390;Divinolândia;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35139040] PREFEITURA MUNICIPAL DE DIVINOLANDIA - PM;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;7.46;7.46;11.15;11.15;11.15;7.46;8.38;7.46;7.44;7.44;84,11;89,91;100,00;99,68;75,62;99,68;75,21;66,71
3514007;351400;Dobrada;SP;2019;[35140011] Prefeitura Municipal de Dobrada - PMD | [35140040] prefeitura municipal de dobrada - pmd;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;8.73;8.73;8.93;8.93;8.93;8.73;8.73;8.73;8.73;8.73;100,00;100,00;100,00;100,00;100,00;100,00;97,77;97,77
3514106;351410;Dois Córregos;SP;2019;[35141011] Serviço Autônomo de Água e Esgoto de Dois Córregos - SAAEDOCO | [35141040] Departamento de Agricultura e Meio Ambiente - DA&MA;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;25.86;25.86;27.32;27.32;27.32;25.86;25.80;25.80;25.78;25.78;99,83;100,00;99,80;99,68;99,83;99,68;94,46;94,38
3514205;351420;Dolcinópolis;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35142040] Prefeitura Municipal de Dolcinópolis - PMD;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;1.97;1.97;2.12;2.12;2.12;1.97;2.12;1.97;2.09;1.97;100,00;100,00;100,00;100,00;100,00;100,00;100,00;98,91
3514304;351430;Dourado;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35143040] Prefeitura Municipal de Dourado - PMD;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;8.11;8.11;8.87;8.87;8.87;8.11;8.76;8.11;8.59;8.11;99,04;100,00;100,00;100,00;99,04;100,00;98,76;96,83
3514403;351440;Dracena;SP;2019;[35144011] Empresa de Desenvolvimento, Água, Esgoto e Pavimentação de Dracena - EMDAEP | [35144040] Secretaria da Agricultura, Meio Ambiente e Limpeza Pública - SAMA;Água e Esgoto | Res. Sólidos;Empresa pública | Administração pública direta;43.21;43.21;46.79;46.79;46.79;43.21;46.79;43.21;43.21;43.21;96,00;100,00;100,00;100,00;96,00;100,00;100,00;92,34
3514502;351450;Duartina;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35145040] MUNICIPIO DE DUARTINA - PSV_SGL;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;11.17;11.17;12.45;12.45;12.45;11.17;12.45;11.17;12.38;11.17;100,00;100,00;100,00;100,00;100,00;100,00;100,00;99,49
3514601;351460;Dumont;SP;2019;;;;0.00;0.00;0.00;0.00;9.87;9.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3514700;351470;Echaporã;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35147040] Prefeitura Municipal de Echaporã - PME;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;4.86;4.86;6.10;6.10;6.10;4.86;6.09;4.86;5.96;4.86;98,74;100,00;100,00;100,00;98,74;100,00;99,77;97,61
3514809;351480;Eldorado;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35148040] Prefeitura Municipal - PME;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;7.63;7.63;15.49;15.49;15.49;7.63;7.49;7.49;6.89;6.89;90,14;100,00;98,20;90,39;90,14;90,39;48,35;44,48
3514908;351490;Elias Fausto;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35149040] Prefeitura Municipal de Elias Fausto - PMEF;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;14.15;14.15;17.77;17.77;17.77;14.15;15.64;14.15;15.19;14.15;99,61;100,00;100,00;100,00;99,61;100,00;87,98;85,46
3514924;351492;Elisiário;SP;2019;[35149211] Prefeitura Municipal de Elisiário - PME | [35149240] Prefeitura Municipal de Elisiário - PME;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;3.34;3.34;3.65;3.65;3.65;3.34;3.34;3.34;3.34;3.34;91,92;100,00;100,00;100,00;91,92;100,00;91,59;91,59
3514957;351495;Embaúba;SP;2019;[35149511] Semae Ambiental Embauba - SEMAE | [35149540] PREFEITURA MUNICIPAL DE EMBAUBA - PME;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;2.09;2.09;2.45;2.45;2.45;2.09;2.45;2.09;2.45;2.09;51,63;80,02;100,00;100,00;41,31;100,00;100,00;100,00
3515004;351500;Embu ;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35150040] Prefeitura da Estância Turística de Embu das Artes - PMETE;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;273.73;273.73;273.73;273.73;273.73;273.73;273.73;273.73;203.73;203.73;55,41;55,00;100,00;74,43;30,48;74,43;100,00;74,43
3515103;351510;Embu-Guaçu;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35151040] Prefeitura Municipal de Embu-Guaçu - PMEG;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;67.54;67.54;69.39;69.39;69.39;67.54;58.44;58.44;26.79;26.79;37,97;100,00;86,50;39,67;37,97;39,67;84,23;38,61
3515129;351512;Emilianópolis;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP;Água e Esgoto;Sociedade de economia mista com administração pública;2.66;2.66;3.21;3.21;3.21;2.66;2.94;2.66;2.93;2.66;97,80;100,00;100,00;100,00;97,80;100,00;91,35;91,19
3515152;351515;Engenheiro Coelho;SP;2019;[35151511] Serviço de Água e Esgoto de Engenheiro Coelho - SAEEC;Água e Esgoto;Autarquia;15.19;15.19;20.77;20.77;20.77;15.19;15.19;15.19;15.19;15.19;97,63;100,00;100,00;100,00;97,63;100,00;73,14;73,14
3515186;351518;Espírito Santo Do Pinhal;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35151840] Departamento de Agricultura e Meio Ambiente e Departamento de Serviços Urbanos - DAMA - SU;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;39.40;39.40;44.33;44.33;44.33;39.40;39.07;39.07;38.88;38.88;94,46;100,00;99,20;98,69;94,46;98,69;88,14;87,71
3515194;351519;Espírito Santo Do Turvo;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35151940] Prefeitura Municipal de Espirito Santo do Turvo - PM EST;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;4.13;4.13;4.83;4.83;4.83;4.13;4.16;4.13;4.16;4.13;97,72;100,00;100,00;100,00;97,72;100,00;86,06;86,06
3557303;355730;Estiva Gerbi;SP;2019;[35573011] Prefeitura Municipal de Estiva Gerbi - PMEG | [35573040] Prefeitura Municipal de Estiva Gerbi - SP;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;9.02;9.02;11.30;11.30;11.30;9.02;11.30;9.02;11.30;9.02;94,46;0,00;100,00;100,00;0,00;100,00;100,00;100,00
3515202;351520;Estrela D'oeste;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35152040] Prefeitura Municipal de Estrela d'Oeste - PMEstrela;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;7.01;7.01;8.42;8.42;8.42;7.01;8.06;7.01;7.78;7.01;95,36;100,00;100,00;100,00;95,36;100,00;95,75;92,39
3515301;351530;Estrela Do Norte;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35153040] Prefeitura Municipal de Estrela do Norte - DMAAMA;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;2.18;2.18;2.77;2.77;2.77;2.18;2.62;2.18;2.60;2.18;100,00;100,00;100,00;100,00;100,00;100,00;94,65;93,85
3515350;351535;Euclides Da Cunha Paulista;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35153540] Prefeitura Municipal de Euclides da Cunha Paulista - Pmecp;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;5.98;5.98;9.37;9.37;9.37;5.98;6.26;5.98;5.53;5.53;96,17;100,00;100,00;92,57;96,17;92,57;66,79;59,02
3515400;351540;Fartura;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35154040] Coordenadoria do Meio Ambiente - CMA;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;12.81;12.81;16.04;16.04;16.04;12.81;14.32;12.81;14.02;12.81;92,84;100,00;100,00;100,00;92,84;100,00;89,32;87,42
3515509;351550;Fernandópolis;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35155040] Prefeitura Municipal de Fernandópolis - PM FERNANDOPOLIS;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;67.00;67.00;69.12;69.12;69.12;67.00;69.12;67.00;68.91;67.00;96,39;100,00;100,00;100,00;96,39;100,00;100,00;99,70
3515608;351560;Fernando Prestes;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35156040] PREFEITURA MUNICIPAL DEFERNANDO PRESTES - PM;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;4.91;4.91;5.78;5.78;5.78;4.91;5.78;4.91;5.74;4.91;94,78;100,00;100,00;100,00;94,78;100,00;100,00;99,19
3515657;351565;Fernão;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35156540] PREFEITURA MUNICIPAL DE FERNÃO - PMF;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;933.00;933.00;1.72;1.72;1.72;933.00;1.06;933.00;1.06;933.00;100,00;100,00;100,00;100,00;100,00;100,00;61,95;61,77
3515707;351570;Ferraz De Vasconcelos;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35157040] Secretaria Municipal de Serviços Urbanos - SMSU;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;185.56;185.56;194.28;194.28;194.28;185.56;188.06;185.56;161.47;161.47;68,18;56,00;100,00;87,02;38,18;87,02;96,80;83,11
3515806;351580;Flora Rica;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35158040] Prefeitura Municipal de Flora Rica - PMFR;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;1.19;1.19;1.46;1.46;1.46;1.19;1.37;1.19;1.34;1.19;100,00;100,00;100,00;100,00;100,00;100,00;93,58;91,53
3515905;351590;Floreal;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35159040] Prefeitura Municipal de Floreal - PMF;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;2.37;2.37;2.92;2.92;2.92;2.37;2.71;2.37;2.70;2.37;100,00;100,00;100,00;100,00;100,00;100,00;92,80;92,39
3516002;351600;Flórida Paulista;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP;Água e Esgoto;Sociedade de economia mista com administração pública;11.55;11.55;14.64;14.64;14.64;11.55;10.47;10.47;10.38;10.38;100,00;100,00;90,70;89,85;100,00;89,85;71,52;70,89
3516101;351610;Florínia;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35161040] Prefeitura Municipal de Florinea - FMS;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;2.38;2.38;2.68;2.68;2.68;2.38;2.39;2.38;2.34;2.34;98,39;100,00;100,00;98,32;98,39;98,32;89,35;87,29
3516200;351620;Franca;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35162040] SECRETARIA DE SERVIÇOS E MEIO AMBIENTE - SESMAM;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;346.99;346.99;353.19;353.19;353.19;346.99;353.19;346.99;351.85;346.99;98,81;100,00;100,00;100,00;98,81;100,00;100,00;99,62
3516309;351630;Francisco Morato;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35163040] Prefeitura Municipal Francisco Morato - PMFM;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;175.49;175.49;175.84;175.84;175.84;175.49;170.43;170.43;82.69;82.69;36,62;0,00;97,10;47,12;0,00;47,12;96,92;47,02
3516408;351640;Franco Da Rocha;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35164040] Secretaria de Infraestrutura e Habitação - SIHAB;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;142.33;142.33;154.49;154.49;154.49;142.33;151.25;142.33;103.13;103.13;53,42;0,00;100,00;72,46;0,00;72,46;97,90;66,75
3516507;351650;Gabriel Monteiro;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35165040] Prefeitura Municipal de Gabriel Monteiro - PMGM;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;2.31;2.31;2.78;2.78;2.78;2.31;2.75;2.31;2.74;2.31;99,83;100,00;100,00;100,00;99,83;100,00;99,10;98,52
3516606;351660;Gália;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35166040] Prefeitura Municipal de Gália - PMG;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;4.88;4.88;6.55;6.55;6.55;4.88;5.35;4.88;5.26;4.88;100,00;100,00;100,00;100,00;100,00;100,00;81,72;80,28
3516705;351670;Garça;SP;2019;[35167011] Serviço Autônomo de Água e Esgotos - SAAE | [35167040] Secretaria Municipal de Serviços Públicos - SASP;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;40.35;40.35;44.39;44.39;44.39;40.35;40.35;40.35;40.35;40.35;70,31;100,00;100,00;100,00;70,31;100,00;90,90;90,90
3516804;351680;Gastão Vidigal;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP;Água e Esgoto;Sociedade de economia mista com administração pública;4.31;4.31;4.81;4.81;4.81;4.31;4.10;4.10;4.07;4.07;100,00;100,00;95,20;94,57;100,00;94,57;85,32;84,71
3516853;351685;Gavião Peixoto;SP;2019;[35168511] Prefeitura Municipal de Gavião Peixoto - PMGP | [35168540] Prefeitura Municipal de Gavião Peixoto - PMGP;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;3.87;3.87;4.79;4.79;4.79;3.87;4.79;3.87;3.87;3.87;76,63;100,00;100,00;100,00;76,63;100,00;100,00;80,89
3516903;351690;General Salgado;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35169040] Prefeitura Municipal de General Salgado - PMGS;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;9.25;9.25;10.87;10.87;10.87;9.25;10.87;9.25;10.69;9.25;99,93;100,00;100,00;100,00;99,93;100,00;100,00;98,35
3517000;351700;Getulina;SP;2019;[35170011] Prefeitura Municipal de Getulina - PMG | [35170040] PREFEITURA MUNICIPAL DE GETULINA - PMG;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;8.83;8.83;11.41;11.41;11.41;8.83;8.80;8.80;8.65;8.65;100,00;92,86;99,60;97,97;92,86;97,97;77,13;75,85
3517109;351710;Glicério;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35171040] PREFEITURA MUNICIPAL DE GLICERIO - P.M.G;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;3.55;3.55;4.82;4.82;4.82;3.55;3.20;3.20;3.15;3.15;100,00;100,00;90,10;88,78;100,00;88,78;66,38;65,38
3517208;351720;Guaiçara;SP;2019;[35172011] Prefeitura Municipal de Guaiçara - PMG | [35172040] Município de Guaiçara - PMG;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;11.06;11.06;12.17;12.17;12.17;11.06;12.17;11.06;12.17;11.06;97,39;100,00;100,00;100,00;97,39;100,00;100,00;100,00
3517307;351730;Guaimbê;SP;2019;[35173011] Prefeitura Municipal de Guaimbê - PMG | [35173040] SETOR DE AGUA E ESGOTO - Prefeitura;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;5.04;5.04;5.77;5.77;5.77;5.04;5.74;5.03;5.74;5.03;86,20;100,00;99,80;99,84;86,20;99,84;99,51;99,51
3517406;351740;Guaíra;SP;2019;[35174011] Departamento de Esgoto e Água de Guaíra - DEAGUA | [35174040] Município de Guaíra - PM;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;39.32;39.32;40.79;40.79;40.79;39.32;40.79;39.32;40.79;39.32;79,70;100,00;100,00;100,00;79,70;100,00;100,00;100,00
3517505;351750;Guapiaçu;SP;2019;[35175011] Prefeitura Municipal de Guapiaçu - PMG | [35175040] Prefeitura Municipal de Guapiaçu - Pref.;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;18.98;18.98;21.45;21.45;21.45;18.98;21.45;18.98;21.45;18.98;87,78;100,00;100,00;100,00;87,78;100,00;100,00;100,00
3517604;351760;Guapiara;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35176040] SECRETARIA MUNICIPAL DE MEIO AMBIENTE E TURISMO - SMMAT;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;6.90;6.90;17.16;17.16;17.16;6.90;10.45;6.90;5.86;5.86;58,83;92,95;100,00;84,92;54,68;84,92;60,91;34,13
3517703;351770;Guará;SP;2019;[35177011] Águas de Guará Ltda - GUARA | [35177040] Prefeitura Municipal de Guará - PMG;Água e Esgoto | Res. Sólidos;Empresa privada | Administração pública direta;20.54;20.54;21.22;21.22;21.22;20.54;21.22;20.54;21.22;20.54;84,90;100,00;100,00;100,00;84,90;100,00;100,00;100,00
3517802;351780;Guaraçaí;SP;2019;[35178011] Autarquia Municipal de Saneamento Ambiental de Guaraçaí - SAG | [35178040] Prefeitura Municipal de Guaraçaí - PM;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;6.57;6.57;8.32;8.32;8.32;6.57;6.57;6.57;6.57;6.57;87,96;100,00;100,00;100,00;87,96;100,00;78,89;78,89
